title,lyrics,release_date,Album,release_year,Word Count
Dream of You, dancer right answer singer time unless over thinker slow kisser confessed sinner time when  squeeze hands times three times believe love always always  whole through dream since dream could stay talking bout nothing whole through dream  living writing with head spinning days passing time yeah  squeeze hands times three times believe love always always always  whole through dream since dream could stay talking bout nothing yeah whole through dream post  dream dream dream yeah dream yeah dream bridge please dream please dream woah  whole through dream since dream since babe since babe could stay talking bout nothing yeah whole through dream post  dream dream dream yeah only dream dream yeah dream dream yeah yeah yeah yeah  whole through dream,2019-12-06,Romance,2019.0,129
Into It, psychic sick sick medicine  gravity hold hands outer space make sense nothing words this couch getting smaller favorite place even question know gonna  whatever trouble thinking could king sized corner things wanna infinite mean  holding holding breath until turning blue yeah yeah save save save fall fall  this couch getting smaller favorite place even question know gonna  whatever trouble thinking could king sized corner things wanna infinite mean whatever trouble thinking could king sized corner enough conversation baby mean  gravity hold hands outer space make sense nothing this couch getting smaller favorite place even question know gonna baby  whatever trouble thinking could thinking king sized corner into yeah things wanna infinite everything infinite mean ,2018-01-12,Camila [Target Exclusive],2018.0,123
GODSPEED, wanna party anymore think jokes sound funny anymore shoes dance barefoot floor gonna probably meds that things stayed head tired playin pretend stop driving dead  livin ghost world livin past life everything could stay same wouldn nice know know always know leave when night past hope find peac godspeed godspeed godspeed godspeed  peace elusive elusive kisses muses truces bruises real life angels lose gotta burn bridge help light fuses sometimes lose thoughts abusive times lose sight love real reason this fifteen since this twenty choose this  livin ghost world ghost world livin past life past life everything could stay same wouldn nice know know know always know yeah always know leave when night past peak when night hope find peace godspeed yeah yeah godspeed godspeed godspeed  feel like wish well away godspeed godspeed,2024-09-06,"C,XOXO (Magic City Edition)",2024.0,138
Crown, been sitting tongue ages words dripping mouth contagious skin back blame waiting world save  baby fire close eyes think time kingdom mine that move serpentine think time  running crown running crown heavy heavy bones when sitting sitting throne running crown running crown running post  running crown running crown running  heavy eyes wake heavy mind face higher high high high body burning body burning heads spinning tables turning tables turning refrain baby fire close eyes think time bridge cause running running running cause running running running  running crown running crown heavy heavy bones when sitting sitting throne running crown running crown running,2017-12-14,Bright: The Album,2017.0,107
HE KNOWS, ojerime this chemistry strong  camila cabello ojerime think knows this chemistry strong when play like that when like that have like that think knows this chemistry strong when play like that when like that that comin right back  camila cabello provocateur dancefloor connoisseur shit week friday sure sure yeah tell girls takin detour tour give hell yeah give boys hell yeah well yeah myself yeah  camila cabello cigar candy necklace hips butt rfly that wrist hands like this major glow head glossy give kiss softly tease  camila cabello ojerime camila cabello think knows this chemistry strong when play like that when like that have like that think knows this chemistry strong when play like just like that when like like that that comin right back  ojerime drippin bustier like cream ashanti playin rain fuckin headboard knees like dear lord please pray save grace what what want chemistry strong give brrt baow shoot mouth shoot shit like yeah yeah okay this chemistry strong real take soul hold take hoes okay real think knows  camila cabello camila cabello think knows yeah when play like when play like that think knows yeah when like that yeah bridge camila cabello camila cabello wrapped around pinky finger yeah watchin move more drunk power liquor knows true  camila cabello ojerime camila cabello this chemistry strong play like that when play like play like that this chemistry strong when play like that play like that that comin right back  ojerime baow this chemistry strong baow baow baow baow baow baow this chemistry strong baow baow baow baow baow,2024-05-10,"C,XOXO (Magic City Edition)",2024.0,270
Million To One, here again imagining world outside unlike daydreamin chance there world understands where hear whispers room walkin daydreamin again need chance  when feel fear staring tell wait know gonna know gonna world half asleep gonna wake  million gonna shot dark gonna afford wrong even afraid gonna know name gonna know name  barely sleep caus heart always racing chasing pacing round room livin carefully something wanna  when feel fear staring tell wait know gonna know gonna world half asleep gonna wake  million gonna shot dark gonna afford wrong even afraid gonna know name yeah gonna know name bridge then know could yeah laughin cause knew along head light hard telling  million gonna shot dark gonna afford wrong even afraid gonna know name yeah gonna know name  gonna know name yeah gonna know name yeah gonna know name gonna know name,2021-08-31,Cinderella (Soundtrack from the Amazon Original Movie),2021.0,146
B.O.A.T., hotel motel holiday hotel motel  lying replaying shit said ever regret messing head cause thinkin never give peace mind give myself never think right time good someone else probably lifetime need help wish wish  right that want mine think know live without forget holiday right hotel motel holiday fucked baby time hotel motel holiday think could fall love without forget hotel motel best time post  hotel motel holiday hotel motel holiday  texts send know shit ends trying again jealous friends cause thinkin never givin body never bout nights baby pray find give heart heart wish  right that want mine think know live without forget holiday right hotel motel holiday fucked baby time hotel motel holiday think could fall love without forget hotel motel best time  hotel motel holiday hotel motel holiday forget boyfriend meet hotel room,2024-06-28,"C,XOXO (Magic City Edition)",2024.0,143
HOT UPTOWN, drake love surely right know time yeah yeah refrain drake drake camila cabello nike shoe maker yeah yeah yeah benz maker yeah yeah yeah tiffany ring maker yeah yeah grip money maker okay grip money maker okay hotline bling later okay trust link later  camila cabello drake yeah uptown miss love tryna calm down couldn give uptown when miss love want back post  camila cabello camila cabello drake drake hands waist hand face yeah weak handle babe play safe please know making mistake giving space better hang onto time better  drake camila cabello tryna hang onto time better trying patience trying somethin else might even work favor trying forget work basic trying time cause look good paper trying  camila cabello think ready love like mine think worthy time know pisces lowkey best sign lucky gets prime  drake camila cabello drake camila cabello yeah uptown miss love tryna calm down couldn make uptown uptown miss love want back post  camila cabello camila cabello drake drake hands waist hand face weak handle babe play safe please know making mistake giving space better hang onto time better time better refrain drake drake camila cabello rolex watch maker benz maker tiffany ring maker grip money maker okay grip money maker okay hotline bling later okay trust link later,2024-06-28,"C,XOXO (Magic City Edition)",2024.0,221
Chanel No.5, chanel never survive crime crime watch whine know know crime know likes black dress reminder seein desire arise eyes lucky them  cute girl sick mind know play cards right wrist wrist spritz spritz make come alive chanel want mine know fuck mind wrist wrist spritz spritz make come alive chanel  fold like origami magic real like murakami chipped nails wabi sabi artbreaker nobody make tongue tied like shibari subtle complex like umami like omakase wild horse nobody  shouldn trust want baby cause love love like daisies gloss cute tasty extra leading lady  cute girl sick mind know play cards right wrist wrist spritz spritz make come alive chanel want mine know fuck mind wrist wrist spritz spritz make come alive chanel  woof woof tooth gettin long take bite peek thong just just what writin wrongs high rise high like king kong violence like tarantino tarantino wearin pink valentino valentino sparkle mouth like pellegrino real problem know  shouldn trust want baby yeah yeah cause love love like daisies yeah yeah gloss cute tasty extra leading lady yeah  cute girl sick mind with sick mind know play cards right yeah right wrist wrist spritz spritz make come alive chanel want mine know fuck mind wrist wrist spritz spritz make come alive chanel chanel,2024-06-21,"C,XOXO (Magic City Edition)",2024.0,219
Hasta Los Dientes,letra hasta dientes verso camila cabello gustas como tienes idea saber pasado knockea hasta dormida imagino ella enferma coro camila cabello culpa haces sentir estoy loca pero loca coro camila cabello hasta haces sufrir quise morir quiero compartir quiero solo entiendes cuerpo enciende cuando besas depre saber besado otra quiero compartir quiero solo entiendes duelen hasta dientes verso maria becerra sigo aferrada pasado ndote mano ella otros besos dado miraron juntos estrellas mente siempre maldigo tienes coraz preso sepa ahora conmigo pertenecen besos coro maria becerra quieres venga bien solo amas coro camila cabello maria becerra hasta haces sufrir quise morir quiero compartir quiero solo entiendes cuerpo enciende cuando besas depre saber besado otra quiero compartir quiero solo entiendes duelen hasta dientes post coro camila cabello coro camila cabello culpa haces sentir estoy loca pero loca  maria becerra camila cabello both hasta haces sufrir yeah yeah quise morir quiero compartir quiero solo entiendes cuerpo enciende cuando besas depre saber besado otra quiero compartir quiero solo quiero entiendes duelen hasta dientes post coro camila cabello,2022-04-08,Familia,2022.0,175
